record_id,source_id,source_short,alloy,heat,material_family,product_form,is_weld,zone,weld_process,filler_metal,ferrite_number,hydrogen_exposure,h2_pressure_MPa,hydrogen_content_wppm,charging_time_h,test_temperature_K,test_temperature_C,strain_rate_per_s,test_type,property_name,reference_environment,property_reference,property_h2,relative_ratio,embrittlement_flag,ni_equivalent,derived,verified,notes
IYER89-EL,S7,Iyer 1989,304,,300-series (304 type),unknown,no,base metal,,,,gaseous precharge,0.1,350.0,12.0,300.0,26.9,,tensile,elongation,uncharged,43.0,13.0,0.302,significant loss,,relative_ratio,no,"Iyer, Canadian Metallurgical Quarterly 1989. Stable 304; charged by soaking at 1050 C in Ar-3%H2 slightly above atmospheric pressure for 12 h (350 wppm), water quenched, tested at 27 C. Reference = annealed, 5 wppm. Strengths converted from kg/mm2 at 9.807 MPa per kg/mm2."
IYER89-TS,S7,Iyer 1989,304,,300-series (304 type),unknown,no,base metal,,,,gaseous precharge,0.1,350.0,12.0,300.0,26.9,,tensile,tensile strength,uncharged,508.0,472.0,0.929,moderate loss,,relative_ratio,no,"Iyer, Canadian Metallurgical Quarterly 1989. Stable 304; charged by soaking at 1050 C in Ar-3%H2 slightly above atmospheric pressure for 12 h (350 wppm), water quenched, tested at 27 C. Reference = annealed, 5 wppm. Strengths converted from kg/mm2 at 9.807 MPa per kg/mm2."
MATSUOKA17-304-RA,S9,Matsuoka 2017,304,,300-series (304 type),unknown,no,base metal,,,,gaseous in-situ,96.5,,,295.0,21.9,,SSRT,reduction of area,air,,,0.37,significant loss,,h2_pressure_MPa (midpoint of 78-115 MPa range),no,"Matsuoka et al., Solid State Phenomena 258 (2017) 259. SSRT per ASTM G142, 6 mm dia, 30 mm gauge, cross-head 0.002 mm/s, hydrogen gas 78-115 MPa (96.5 recorded as the midpoint), reference air at RT. RRA = 0.37 stated in the text; absolute RA values appear only in figures. Remaining RRA vs Nieq data is figure-only."
CASKEY-T10-1-EL,S1,Caskey 1983,304L,,300-series (304 type),unknown,no,base metal,,,,gaseous precharge,69.0,,,295.0,21.9,,tensile,elongation,uncharged,32,35,1.094,no measurable loss,,relative_ratio,no,"Caskey Table 10, HERF; total elongation barely changed while plastic strain to fracture halved Composition from Caskey Table A-1 (nominal)."
CASKEY-T10-1-PS,S1,Caskey 1983,304L,,300-series (304 type),unknown,no,base metal,,,,gaseous precharge,69.0,,,295.0,21.9,,tensile,plastic strain to failure,uncharged,1.83,0.87,0.475,significant loss,,relative_ratio,no,"Caskey Table 10, HERF condition; 69 MPa H2 at 480 K for 55 days; reference = unexposed Composition from Caskey Table A-1 (nominal)."
CASKEY-T3-1-EL,S1,Caskey 1983,304L,,300-series (304 type),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,elongation,helium,74.0,48.0,0.649,significant loss,,relative_ratio,yes,"Caskey DP-1643 Table 3. Condition: annealed. Reference environment 69 MPa helium, not air. Composition from Caskey Table A-1 (nominal)."
CASKEY-T3-1-RA,S1,Caskey 1983,304L,,300-series (304 type),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,reduction of area,helium,81.0,33.0,0.407,significant loss,,relative_ratio,yes,"Caskey DP-1643 Table 3. Condition: annealed. Reference environment 69 MPa helium, not air. Composition from Caskey Table A-1 (nominal)."
CASKEY-T3-2-EL,S1,Caskey 1983,304L,,300-series (304 type),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,elongation,helium,43.0,41.0,0.953,no measurable loss,,relative_ratio,yes,"Caskey DP-1643 Table 3. Condition: HERF (high energy rate forged). Reference environment 69 MPa helium, not air. Composition from Caskey Table A-1 (nominal)."
CASKEY-T3-2-RA,S1,Caskey 1983,304L,,300-series (304 type),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,reduction of area,helium,77.0,69.0,0.896,moderate loss,,relative_ratio,yes,"Caskey DP-1643 Table 3. Condition: HERF (high energy rate forged). Reference environment 69 MPa helium, not air. Composition from Caskey Table A-1 (nominal)."
CASKEY-T6-1-PS,S1,Caskey 1983,304L,,300-series (304 type),unknown,no,base metal,,,,gaseous precharge,69.0,,,295.0,21.9,,tensile,plastic strain to failure,uncharged,1.43,0.37,0.259,significant loss,,relative_ratio,no,"Caskey Table 6, smooth specimen; reference = annealed in argon Composition from Caskey Table A-1 (nominal)."
CASKEY-T6-1-TS,S1,Caskey 1983,304L,,300-series (304 type),unknown,no,base metal,,,,gaseous precharge,69.0,,,295.0,21.9,,tensile,tensile strength,uncharged,600,530,0.883,moderate loss,,relative_ratio,no,"Caskey Table 6, smooth specimen; hydrogen gas 69 MPa, 200 days at 380 K; reference = annealed 200 d at 380 K in argon Composition from Caskey Table A-1 (nominal)."
